what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1487143252819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143262039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143271053
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143273059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1487143273077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1487143319107
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1487143342944
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143348488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143424694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143461337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143473364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143499942
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1487143504932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143509078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143519423
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143521591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1487143521606
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143537202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1487143548788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1487143549081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1487143549324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1487143549551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1487143549748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143552668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143553266
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143553350
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1487143553392
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1487143553393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1487143769984
