what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1494331664636
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1494331667698
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1494331667698
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494331669685
error,log,,,"Core exception while retrieving the content description",1494331672617
error,log,,,"Core exception while retrieving the content description",1494331672622
error,log,,,"Core exception while retrieving the content description",1494331672629
error,log,,,"Core exception while retrieving the content description",1494331672635
error,log,,,"Core exception while retrieving the content description",1494331672641
error,log,,,"Core exception while retrieving the content description",1494331672648
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1494331682410
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1494331682613
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1494331682722
opened,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1494331683582
activated,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1494331683738
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1494331684832
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1494331689497
closed,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1494331689497
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494331690185
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1494333582908
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494333582923
error,log,,,"Core exception while retrieving the content description",1494333583298
error,log,,,"Core exception while retrieving the content description",1494333583314
