what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485258839399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485258840927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485258844836
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258844916
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258844973
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1485258844973
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258861648
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258870135
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258871699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1485258901925
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1485258915313
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258919592
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1485258929678
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1485258930761
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485258945234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1485258945279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259000763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259009225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259100726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259134554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259264982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259278110
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259350730
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259366195
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259368830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259373832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259377082
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259381883
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259404963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259411782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259413791
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259444620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259456923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259458082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259515980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259525520
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1485259574323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259578388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1485259588733
