what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496983784449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496983786409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496983998380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496984004711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985106569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985108007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985867095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985870205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985875247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496985877642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496995408017
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496995411210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496995411364
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496995411842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496995412079
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496995413136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496995417041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496995554081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496995686655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497027650018
activated,perspective,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.Perspective",1497027653867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497027789507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028133577
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.LogCatView",1497028135475
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.HeapView",1497028138158
opened,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1497028140631
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1497028140655
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1497028143805
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497028143888
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1497028146428
opened,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1497028158609
activated,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1497028158667
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1497028159294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028205625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028594410
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1497028623661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028634986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028708846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028708909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028713900
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1497028715049
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1497028715936
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1497028716096
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1497028717069
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1497028717817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497028721700
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1497028784366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497072404969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1497072410037
activated,editor,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1497072453465
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497072455262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497072791816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497073899557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074054346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075222786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075228803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075469349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075469546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075513216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075519006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075541021
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1497075545821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1497075555262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075558779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075587578
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497075590930
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1497075592535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075615905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075622420
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1497075624356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1497075627912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075633004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075713163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075714727
