what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918350748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918353656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918411648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918430206
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.ThreadView",1496918432346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918432362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918457925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918523521
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.DeviceView",1496918524770
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1496918537787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496918537792
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496918537804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496918540341
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1496918541054
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1496918541132
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1496918541413
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1496918541413
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1496918541757
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1496918543332
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1496918543535
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1496918543629
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1496918543660
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1496918545629
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1496918549585
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1496918549742
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1496918549742
