0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/theme/looks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/jquery.autocomplete-1.1.3/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:22 +0530] "GET /CenteralServer/theme/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:24 +0530] "GET /CenteralServer/pages/alertdata.jsp?vehicleid=6 HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:24 +0530] "GET /CenteralServer/img/ico_file_excel.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:27 +0530] "GET /CenteralServer/pages/alertdata.jsp?vehicleid=6 HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:52 +0530] "GET /CenteralServer/pages/driverperformance.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:52 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:53 +0530] "GET /CenteralServer/pages/tiles/save.jsp?method=generateDriverPerformance HTTP/1.1" 200 15894
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:58 +0530] "POST /CenteralServer/pages/driverperformance.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:58 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:17:58 +0530] "GET /CenteralServer/pages/tiles/save.jsp?method=generateDriverPerformance HTTP/1.1" 200 16775
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:18:01 +0530] "GET /CenteralServer/pages/map.jsp?sfacility=12 HTTP/1.1" 200 2894
